Latitude,Longitude,Number,Street,City,State,Zip,Base Elevation,Height
39.987336,-75.158311,2231,N Sydenham St,Philadelphia,PA,19132,82.9,20
39.987293,-75.158312,2229,N Sydenham St,Philadelphia,PA,19132,83.3,20
39.987018,-75.158403,2215,N Sydenham St,Philadelphia,PA,19132,84.5,20
39.986979,-75.158412,2213,N Sydenham St,Philadelphia,PA,19132,84.8,20
39.987057,-75.158395,2217,N Sydenham St,Philadelphia,PA,19132,84.4,20
39.987033,-75.158746,2216,N Sydenham St,Philadelphia,PA,19132,85.2,20
39.987071,-75.158737,2218,N Sydenham St,Philadelphia,PA,19132,84.7,20
39.987221,-75.158704,2226,N Sydenham St,Philadelphia,PA,19132,84.3,20
39.987108,-75.158729,2220,N Sydenham St,Philadelphia,PA,19132,84.4,20
39.987183,-75.158712,2224,N Sydenham St,Philadelphia,PA,19132,84.3,20
39.987297,-75.158687,2230,N Sydenham St,Philadelphia,PA,19132,83.9,20
39.987335,-75.158679,2232,N Sydenham St,Philadelphia,PA,19132,83.6,20
39.987259,-75.158695,2228,N Sydenham St,Philadelphia,PA,19132,83.8,20
39.986764,-75.158446,1507,W Susquehanna Ave,Philadelphia,PA,19121,85.5,30
39.986778,-75.158554,1511,W Susquehanna Ave,Philadelphia,PA,19121,85,40
39.987204,-75.158871,2225,N Mole St,Philadelphia,PA,19132,84.4,20
40.00992,-75.195663,3730,Calumet St,Philadelphia,PA,19129,42.1,40
40.01049,-75.19518,3700,Calumet St,Philadelphia,PA,19129,81.2,30
40.010373,-75.195258,3706,Calumet St,Philadelphia,PA,19129,76.5,30
40.010112,-75.195432,3720,Calumet St,Philadelphia,PA,19129,62.3,30
40.010073,-75.195459,3722,Calumet St,Philadelphia,PA,19129,59.8,30
40.010033,-75.195486,3724,Calumet St,Philadelphia,PA,19129,57.5,30
40.009993,-75.195513,3726,Calumet St,Philadelphia,PA,19129,52,30
40.01015,-75.195407,3718,Calumet St,Philadelphia,PA,19129,63.9,30
40.010187,-75.195382,3716,Calumet St,Philadelphia,PA,19129,66.6,10
40.011646,-75.194397,3638,Calumet St,Philadelphia,PA,19129,120.7,20
40.010286,-75.19497,3705,Stanton St,Philadelphia,PA,19129,74.6,30
40.008557,-75.191911,3644,Haywood St,Philadelphia,PA,19129,81,30
40.008439,-75.192846,4165,Ridge Ave,Philadelphia,PA,19129,30.9,30
40.008482,-75.191575,3640,Haywood St,Philadelphia,PA,19129,73.8,50
40.008232,-75.191889,4137,Ridge Ave,Philadelphia,PA,19129,28.8,30
40.008216,-75.191824,4135,Ridge Ave,Philadelphia,PA,19129,28.7,30
40.0082,-75.191761,4133,Ridge Ave,Philadelphia,PA,19129,28.8,30
40.008758,-75.193371,4187,Ridge Ave,Philadelphia,PA,19129,32.6,20
40.008952,-75.190753,3612-14,Haywood St,Philadelphia,PA,19129,98.1,30
40.008567,-75.193009,4173,Ridge Ave,Philadelphia,PA,19129,32.4,30
40.00879,-75.192503,3656,Haywood St,Philadelphia,PA,19129,77.8,40
40.008912,-75.192919,3670-72,Indian Queen Ln,Philadelphia,PA,19129,50.1,30
40.008596,-75.19305,4175,Ridge Ave,Philadelphia,PA,19129,32.4,30
40.008377,-75.192489,4155,Ridge Ave,Philadelphia,PA,19129,29.7,20
40.008687,-75.192253,3652,Haywood St,Philadelphia,PA,19129,74.2,40
40.00849,-75.192878,4167,Ridge Ave,Philadelphia,PA,19129,31.1,30
40.008514,-75.192924,4169,Ridge Ave,Philadelphia,PA,19129,31.7,30
40.008542,-75.192965,4171,Ridge Ave,Philadelphia,PA,19129,31.9,30
40.009241,-75.192597,3666,Haywood St,Philadelphia,PA,19129,74.8,40
40.009045,-75.190434,3602,Haywood St,Philadelphia,PA,19129,100.3,30
40.009064,-75.190368,3600,Haywood St,Philadelphia,PA,19129,98.9,40
40.008826,-75.191097,3630,Haywood St,Philadelphia,PA,19129,100.3,40
40.008738,-75.191277,3634,Haywood St,Philadelphia,PA,19129,92.2,40
40.008932,-75.19093,3620,Haywood St,Philadelphia,PA,19129,102.4,30
40.008992,-75.190905,3618,Haywood St,Philadelphia,PA,19129,103.1,30
40.009004,-75.190855,3616,Haywood St,Philadelphia,PA,19129,102.9,30
40.009024,-75.190503,3604,Haywood St,Philadelphia,PA,19129,99.8,30
40.009005,-75.190571,3606,Haywood St,Philadelphia,PA,19129,102.4,30
40.00862,-75.191424,3636,Haywood St,Philadelphia,PA,19129,86.2,30
40.009024,-75.192477,3660,Haywood St,Philadelphia,PA,19129,76.4,40
40.008343,-75.192355,4151,Ridge Ave,Philadelphia,PA,19129,29.4,20
40.008308,-75.192219,4147,Ridge Ave,Philadelphia,PA,19129,29.1,30
40.00836,-75.192421,4153,Ridge Ave,Philadelphia,PA,19129,29.5,20
40.008429,-75.192693,4161,Ridge Ave,Philadelphia,PA,19129,30.2,30
40.008412,-75.192625,4159,Ridge Ave,Philadelphia,PA,19129,30,20
40.008445,-75.192762,4163,Ridge Ave,Philadelphia,PA,19129,30.5,30
40.008394,-75.192558,4157,Ridge Ave,Philadelphia,PA,19129,30.1,20
40.008265,-75.192048,4141-43,Ridge Ave,Philadelphia,PA,19129,28.8,20
40.008291,-75.19215,4145,Ridge Ave,Philadelphia,PA,19129,29.1,30
40.008849,-75.193102,3676,Indian Queen Ln,Philadelphia,PA,19129,43.7,30
40.00888,-75.193058,3674,Indian Queen Ln,Philadelphia,PA,19129,46.6,20
40.008786,-75.193417,4189,Ridge Ave,Philadelphia,PA,19129,32.8,30
40.008626,-75.192081,3648,Haywood St,Philadelphia,PA,19129,79.6,40
40.008995,-75.192824,3626,Indian Queen Ln,Philadelphia,PA,19129,59.8,30
39.987031,-75.154978,2236,N Park Ave,Philadelphia,PA,19132,82.6,10
39.987291,-75.154922,2248,N Park Ave,Philadelphia,PA,19132,80.5,30
39.987248,-75.154932,2246,N Park Ave,Philadelphia,PA,19132,81.7,10
39.987084,-75.156582,2230,N Broad St,Philadelphia,PA,19132,88.2,20
39.986366,-75.155122,1323,W Susquehanna Ave,Philadelphia,PA,19122,85.3,20
39.986859,-75.155016,2228,N Park Ave,Philadelphia,PA,19132,82,30
39.986902,-75.155007,2230,N Park Ave,Philadelphia,PA,19132,81.9,30
39.986945,-75.154997,2232,N Park Ave,Philadelphia,PA,19132,81.9,30
39.986988,-75.154988,2234,N Park Ave,Philadelphia,PA,19132,81.6,30
40.012983,-75.188245,3419,Sunnyside Ave,Philadelphia,PA,19129,160,20
40.01293,-75.188913,3442,Ainslie St,Philadelphia,PA,19129,169.8,20
40.013013,-75.188203,3417,Sunnyside Ave,Philadelphia,PA,19129,161.8,20
40.012958,-75.188872,3440,Ainslie St,Philadelphia,PA,19129,170.2,30
40.012969,-75.1888,3436,Ainslie St,Philadelphia,PA,19129,171.1,20
40.013043,-75.188156,3415,Sunnyside Ave,Philadelphia,PA,19129,163,20
40.013005,-75.188754,3434,Ainslie St,Philadelphia,PA,19129,172.3,20
